,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
59,0.2273766040802002,0.011963384602169615,0.0038425445556640623,0.00041798095060026374,0.01,1,3,500,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 500}",0.981815150037351,0.5012784909472694,0.6924293649618092,0.5208085024876554,0.4783297170957578,0.6349322451059686,0.1892329648525675,43,-59.51444256589741,-188.42143848125107,-420.4256043271458,-373.3890710733325,-160.35749797056803,-240.421610883639,135.59016688542462,43
55,0.022723579406738283,0.003156297987583444,0.004040813446044922,0.0005722240722836362,0.01,1,3,40,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 40}",0.981815150037351,0.5012784909472694,0.6924293649618092,0.5208085024876554,0.4783297170957578,0.6349322451059686,0.1892329648525675,43,-59.51444256589741,-188.42143848125107,-420.4256043271458,-373.3890710733325,-160.35749797056803,-240.421610883639,135.59016688542462,43
54,0.014784526824951173,0.004901631195129708,0.0034360408782958983,7.716330294690802e-05,0.01,1,3,20,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 20}",0.981815150037351,0.5012784909472694,0.6924293649618092,0.5208085024876554,0.4783297170957578,0.6349322451059686,0.1892329648525675,43,-59.51444256589741,-188.42143848125107,-420.4256043271458,-373.3890710733325,-160.35749797056803,-240.421610883639,135.59016688542462,43
58,0.16114234924316406,0.00893724866245643,0.0037439346313476564,0.00034779756395245153,0.01,1,3,340,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 340}",0.981815150037351,0.5012784909472694,0.6924293649618092,0.5208085024876554,0.4783297170957578,0.6349322451059686,0.1892329648525675,43,-59.51444256589741,-188.42143848125107,-420.4256043271458,-373.3890710733325,-160.35749797056803,-240.421610883639,135.59016688542462,43
57,0.0749138355255127,0.0016585000596382883,0.004000616073608398,0.0007897289920792371,0.01,1,3,160,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 160}",0.981815150037351,0.5012784909472694,0.6924293649618092,0.5208085024876554,0.4783297170957578,0.6349322451059686,0.1892329648525675,43,-59.51444256589741,-188.42143848125107,-420.4256043271458,-373.3890710733325,-160.35749797056803,-240.421610883639,135.59016688542462,43
56,0.04033951759338379,0.002523439214286034,0.0037896156311035155,0.0002020974827301364,0.01,1,3,80,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 80}",0.981815150037351,0.5012784909472694,0.6924293649618092,0.5208085024876554,0.4783297170957578,0.6349322451059686,0.1892329648525675,43,-59.51444256589741,-188.42143848125107,-420.4256043271458,-373.3890710733325,-160.35749797056803,-240.421610883639,135.59016688542462,43
128,0.039723968505859374,0.0025899333259315686,0.0038663387298583985,0.00023503867038310753,0.1,1,3,80,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 80}",0.9818390300526573,0.501220029387879,0.6923570095268501,0.5206907754337632,0.47847534043319384,0.6349164369668687,0.18923570107474308,49,-59.47535308524831,-188.43248180715608,-420.47505360016993,-373.43493509217365,-160.33511465232738,-240.43058764741508,135.62451908128494,49
127,0.021743202209472658,0.002164134788535029,0.003679990768432617,7.698638920642818e-05,0.1,1,3,40,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 40}",0.9818390300526573,0.501220029387879,0.6923570095268501,0.5206907754337632,0.47847534043319384,0.6349164369668687,0.18923570107474308,49,-59.47535308524831,-188.43248180715608,-420.47505360016993,-373.43493509217365,-160.33511465232738,-240.43058764741508,135.62451908128494,49
126,0.012157201766967773,0.0001708390487144884,0.0035439491271972655,0.00016263625816005645,0.1,1,3,20,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 20}",0.9818390300526573,0.501220029387879,0.6923570095268501,0.5206907754337632,0.47847534043319384,0.6349164369668687,0.18923570107474308,49,-59.47535308524831,-188.43248180715608,-420.47505360016993,-373.43493509217365,-160.33511465232738,-240.43058764741508,135.62451908128494,49
131,0.2214139461517334,0.011270556289658114,0.004123067855834961,0.0005247106122250452,0.1,1,3,500,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 500}",0.9818390300526573,0.501220029387879,0.6923570095268501,0.5206907754337632,0.47847534043319384,0.6349164369668687,0.18923570107474308,49,-59.47535308524831,-188.43248180715608,-420.47505360016993,-373.43493509217365,-160.33511465232738,-240.43058764741508,135.62451908128494,49
130,0.15648970603942872,0.010856758436994693,0.0035509586334228514,4.505932012156152e-05,0.1,1,3,340,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 340}",0.9818390300526573,0.501220029387879,0.6923570095268501,0.5206907754337632,0.47847534043319384,0.6349164369668687,0.18923570107474308,49,-59.47535308524831,-188.43248180715608,-420.47505360016993,-373.43493509217365,-160.33511465232738,-240.43058764741508,135.62451908128494,49
129,0.07222518920898438,0.0031452677280660833,0.0036631107330322267,2.6262171743193167e-05,0.1,1,3,160,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 160}",0.9818390300526573,0.501220029387879,0.6923570095268501,0.5206907754337632,0.47847534043319384,0.6349164369668687,0.18923570107474308,49,-59.47535308524831,-188.43248180715608,-420.47505360016993,-373.43493509217365,-160.33511465232738,-240.43058764741508,135.62451908128494,49
60,0.016554737091064455,0.0004829520955625888,0.003579378128051758,3.4984057552094854e-05,0.01,1,6,20,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 20}",0.9801764156345302,0.19003519457897888,0.7434921568629322,0.5070120576549043,0.21531037745834603,0.5272052404379384,0.3044118019341938,55,-62.13819030160343,-240.12332016880737,-383.9432589469631,-378.7260680762851,-196.67093257207566,-252.32035401314693,120.5967452184001,55
62,0.05575714111328125,0.005583691214970684,0.004096174240112304,0.00074863235813535,0.01,1,6,80,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 80}",0.9801764156345302,0.19003519457897888,0.7434921568629322,0.5070120576549043,0.21531037745834603,0.5272052404379384,0.3044118019341938,55,-62.13819030160343,-240.12332016880737,-383.9432589469631,-378.7260680762851,-196.67093257207566,-252.32035401314693,120.5967452184001,55
