sagecode,item,domsupply,foodsupply,feedsupply,otherutil,foodfraction,feedfraction,otherutilfraction
IRL,Bananas,37714.28571,35142.85714,0,2571.428571,0.931818182,0,0.068181818
ISR,Bananas,101142.8571,93285.71429,0,7857.142857,0.922316384,0,0.077683616
ITA,Bananas,421142.8571,417571.4286,0,3571.428571,0.991519674,0,0.008480326
JAM,Bananas,62571.42857,57142.85714,1142.857143,4285.714286,0.913242009,0.01826484,0.068493151
JPN,Bananas,960857.1429,797571.4286,0,163285.7143,0.830062444,0,0.169937556
JOR,Bananas,30285.71429,27142.85714,0,3142.857143,0.896226415,0,0.103773585
KAZ,Bananas,6142.857143,6142.857143,0,0,1,0,0
KEN,Bananas,534571.4286,454571.4286,0,80000,0.850347408,0,0.149652592
KIR,Bananas,5000,4000,0,1000,0.8,0,0.2
KWT,Bananas,17714.28571,17714.28571,0,0,1,0,0
KGZ,Bananas,714.2857143,714.2857143,0,0,1,0,0
LAO,Bananas,40142.85714,38142.85714,0,2000,0.950177936,0,0.049822064
LVA,Bananas,17000,17000,0,0,1,0,0
LBN,Bananas,62857.14286,55714.28571,0,7142.857143,0.886363636,0,0.113636364
LSO,Bananas,3000,3000,0,0,1,0,0
LBR,Bananas,102714.2857,94428.57143,0,8285.714286,0.919332406,0,0.080667594
LBY,Bananas,8428.571429,7571.428571,0,857.1428571,0.898305085,0,0.101694915
LTU,Bananas,24142.85714,24142.85714,0,0,1,0,0
LUX,Bananas,2000,2000,0,0,1,0,0
MDG,Bananas,281428.5714,253142.8571,0,28285.71429,0.899492386,0,0.100507614
MWI,Bananas,253428.5714,228142.8571,0,25285.71429,0.900225479,0,0.099774521
MYS,Bananas,500142.8571,394142.8571,0,106000,0.788060554,0,0.211939446
MDV,Bananas,4857.142857,3857.142857,0,1000,0.794117647,0,0.205882353
MLI,Bananas,75714.28571,75714.28571,0,0,1,0,0
MLT,Bananas,7142.857143,6142.857143,0,1000,0.86,0,0.14
MRT,Bananas,285.7142857,285.7142857,0,0,1,0,0
MUS,Bananas,9428.571429,8285.714286,0,1142.857143,0.878787879,0,0.121212121
MEX,Bananas,1719142.857,1479857.143,0,239285.7143,0.860811035,0,0.139188965
MNG,Bananas,285.7142857,285.7142857,0,0,1,0,0
MAR,Bananas,132714.2857,126142.8571,0,6571.428571,0.950484392,0,0.049515608
MOZ,Bananas,89285.71429,84714.28571,0,4571.428571,0.9488,0,0.0512
NAM,Bananas,2714.285714,2714.285714,0,0,1,0,0
NPL,Bananas,46857.14286,46857.14286,0,0,1,0,0
NLD,Bananas,99285.71429,97571.42857,0,1714.285714,0.982733813,0,0.017266187
ANT,Bananas,1000,1000,0,0,1,0,0
NCL,Bananas,714.2857143,714.2857143,0,0,1,0,0
NZL,Bananas,72000,65000,0,7000,0.902777778,0,0.097222222
NIC,Bananas,13714.28571,8714.285714,0,5000,0.635416667,0,0.364583333
NER,Bananas,857.1428571,857.1428571,0,0,1,0,0
NOR,Bananas,60714.28571,57714.28571,0,3000,0.950588235,0,0.049411765
PAK,Bananas,125428.5714,112714.2857,0,12714.28571,0.898633257,0,0.101366743
PAN,Bananas,147857.1429,59142.85714,30000,58714.28571,0.4,0.202898551,0.397101449
PRY,Bananas,67285.71429,42714.28571,7000,17571.42857,0.634819533,0.10403397,0.261146497
PHL,Bananas,3266285.714,2302857.143,481714.2857,481714.2857,0.705038488,0.147480756,0.147480756
POL,Bananas,195000,166714.2857,0,28285.71429,0.854945055,0,0.145054945
PRT,Bananas,158142.8571,137000,2857.142857,18285.71429,0.86630533,0.018066847,0.115627823
KOR,Bananas,166857.1429,158571.4286,0,8285.714286,0.950342466,0,0.049657534
MDA,Bananas,2000,2000,0,0,1,0,0
ROM,Bananas,55857.14286,53142.85714,0,2714.285714,0.95140665,0,0.04859335
RUS,Bananas,577285.7143,577285.7143,0,0,1,0,0
STL,Bananas,19714.28571,9857.142857,4857.142857,5000,0.5,0.246376812,0.253623188
VCT,Bananas,7571.428571,2714.285714,4000,857.1428571,0.358490566,0.528301887,0.113207547
WSM,Bananas,19428.57143,12714.28571,2857.142857,3857.142857,0.654411765,0.147058824,0.198529412
STP,Bananas,26000,21000,0,5000,0.807692308,0,0.192307692
SAU,Bananas,169714.2857,164571.4286,0,5142.857143,0.96969697,0,0.03030303
SEN,Bananas,22571.42857,20428.57143,0,2142.857143,0.905063291,0,0.094936709
SRM,Bananas,62142.85714,56571.42857,0,5571.428571,0.910344828,0,0.089655172
SYC,Bananas,2000,2000,0,0,1,0,0
SVK,Bananas,53000,50285.71429,0,2714.285714,0.948787062,0,0.051212938
SVN,Bananas,30428.57143,27142.85714,0,3285.714286,0.892018779,0,0.107981221
ZAF,Bananas,320428.5714,288285.7143,0,32142.85714,0.899687918,0,0.100312082
ESP,Bananas,433571.4286,366714.2857,0,66857.14286,0.845799012,0,0.154200988
SDN,Bananas,72142.85714,61142.85714,0,11000,0.847524752,0,0.152475248
SUR,Bananas,11285.71429,6285.714286,4285.714286,714.2857143,0.556962025,0.379746835,0.063291139
SWZ,Bananas,2428.571429,2428.571429,0,0,1,0,0
SWE,Bananas,164285.7143,155000,0,9285.714286,0.943478261,0,0.056521739
CHE,Bananas,73000,66000,0,7000,0.904109589,0,0.095890411
SYR,Bananas,57857.14286,52285.71429,0,5571.428571,0.903703704,0,0.096296296
THA,Bananas,1569428.571,1393142.857,0,176285.7143,0.887675223,0,0.112324777
MKD,Bananas,3857.142857,3428.571429,0,428.5714286,0.888888889,0,0.111111111
TGO,Bananas,16571.42857,13285.71429,0,3285.714286,0.801724138,0,0.198275862
TRI,Bananas,7714.285714,6714.285714,0,1000,0.87037037,0,0.12962963
TUN,Bananas,13571.42857,12571.42857,0,1000,0.926315789,0,0.073684211
TUR,Bananas,131000,114571.4286,0,16428.57143,0.874591058,0,0.125408942
UGA,Bananas,604142.8571,513285.7143,0,90857.14286,0.849609837,0,0.150390163
UKR,Bananas,59000,59000,0,0,1,0,0
ARE,Bananas,70142.85714,60571.42857,0,9571.428571,0.863543788,0,0.136456212
GBR,Bananas,752571.4286,714571.4286,0,38000,0.949506454,0,0.050493546
TZA,Bananas,1106571.429,806142.8571,0,300428.5714,0.728505035,0,0.271494965
USA,Bananas,3512428.571,3314571.429,0,197857.1429,0.943669419,0,0.056330581
URY,Bananas,46285.71429,39428.57143,0,6857.142857,0.851851852,0,0.148148148
UZB,Bananas,428.5714286,428.5714286,0,0,1,0,0
VUT,Bananas,13285.71429,11285.71429,0,2000,0.849462366,0,0.150537634
VEN,Bananas,722571.4286,613428.5714,0,109142.8571,0.848952155,0,0.151047845
VNM,Bananas,1199142.857,1076857.143,0,122285.7143,0.898022397,0,0.101977603
YEM,Bananas,67571.42857,63857.14286,0,3714.285714,0.945031712,0,0.054968288
ZMB,Bananas,3000,2857.142857,0,142.8571429,0.952380952,0,0.047619048
ZWE,Bananas,82142.85714,73571.42857,0,8571.428571,0.895652174,0,0.104347826
ALB,Barley,9428.571429,3714.285714,2571.428571,3142.857143,0.393939394,0.272727273,0.333333333
DZA,Barley,988857.1429,524428.5714,399857.1429,64571.42857,0.530338053,0.404362901,0.065299047
AGO,Barley,24285.71429,24285.71429,0,0,1,0,0
ARG,Barley,307857.1429,256000,27142.85714,24714.28571,0.831554524,0.088167053,0.080278422
