"Statistic","Month","Meteorological Weather Station","UNIT","VALUE"
"Average Maximum Temperature","1959M11","Malin head","Degrees C","10.2"
"Average Maximum Temperature","1959M11","Mullingar","Degrees C","9.7"
"Average Maximum Temperature","1959M11","Roches Point","Degrees C","11.1"
"Average Maximum Temperature","1959M11","Rosslare","Degrees C","11.2"
"Average Maximum Temperature","1959M11","Shannon airport","Degrees C","10.8"
"Average Maximum Temperature","1959M12","Belmullet","Degrees C","9.4"
"Average Maximum Temperature","1959M12","Birr","Degrees C","8.9"
"Average Maximum Temperature","1959M12","Valentia Observatory","Degrees C","10.4"
"Average Maximum Temperature","1959M12","Casement","Degrees C",""
"Average Maximum Temperature","1959M12","Claremorris","Degrees C","8.2"
"Average Maximum Temperature","1959M12","Clones","Degrees C","8.1"
"Average Maximum Temperature","1959M12","Cork airport","Degrees C",""
"Average Maximum Temperature","1959M12","Dublin airport","Degrees C","8.8"
"Average Maximum Temperature","1959M12","Galway","Degrees C",""
"Average Maximum Temperature","1959M12","Kilkenny","Degrees C","9.1"
"Average Maximum Temperature","1959M12","Malin head","Degrees C","8.8"
"Average Maximum Temperature","1959M12","Mullingar","Degrees C","8.1"
"Average Maximum Temperature","1959M12","Roches Point","Degrees C","10"
"Average Maximum Temperature","1959M12","Rosslare","Degrees C","9.9"
"Average Maximum Temperature","1959M12","Shannon airport","Degrees C","9.3"
"Average Maximum Temperature","1960M01","Belmullet","Degrees C","8.3"
"Average Maximum Temperature","1960M01","Birr","Degrees C","7.6"
"Average Maximum Temperature","1960M01","Valentia Observatory","Degrees C","9.6"
"Average Maximum Temperature","1960M01","Casement","Degrees C",""
"Average Maximum Temperature","1960M01","Claremorris","Degrees C","7.1"
"Average Maximum Temperature","1960M01","Clones","Degrees C","6.9"
"Average Maximum Temperature","1960M01","Cork airport","Degrees C",""
"Average Maximum Temperature","1960M01","Dublin airport","Degrees C","7.8"
"Average Maximum Temperature","1960M01","Galway","Degrees C",""
"Average Maximum Temperature","1960M01","Kilkenny","Degrees C","7.6"
"Average Maximum Temperature","1960M01","Malin head","Degrees C","8.1"
"Average Maximum Temperature","1960M01","Mullingar","Degrees C","6.9"
"Average Maximum Temperature","1960M01","Roches Point","Degrees C","8.7"
"Average Maximum Temperature","1960M01","Rosslare","Degrees C","8.4"
"Average Maximum Temperature","1960M01","Shannon airport","Degrees C","8.1"
"Average Maximum Temperature","1960M02","Belmullet","Degrees C","7.9"
"Average Maximum Temperature","1960M02","Birr","Degrees C","7.3"
"Average Maximum Temperature","1960M02","Valentia Observatory","Degrees C","9"
"Average Maximum Temperature","1960M02","Casement","Degrees C",""
"Average Maximum Temperature","1960M02","Claremorris","Degrees C","7.1"
"Average Maximum Temperature","1960M02","Clones","Degrees C","6.8"
"Average Maximum Temperature","1960M02","Cork airport","Degrees C",""
"Average Maximum Temperature","1960M02","Dublin airport","Degrees C","7.1"
"Average Maximum Temperature","1960M02","Galway","Degrees C",""
"Average Maximum Temperature","1960M02","Kilkenny","Degrees C","7.7"
"Average Maximum Temperature","1960M02","Malin head","Degrees C","7.3"
"Average Maximum Temperature","1960M02","Mullingar","Degrees C","7.1"
"Average Maximum Temperature","1960M02","Roches Point","Degrees C","8"
"Average Maximum Temperature","1960M02","Rosslare","Degrees C","7.9"
"Average Maximum Temperature","1960M02","Shannon airport","Degrees C","8"
"Average Maximum Temperature","1960M03","Belmullet","Degrees C","10.6"
"Average Maximum Temperature","1960M03","Birr","Degrees C","10.2"
"Average Maximum Temperature","1960M03","Valentia Observatory","Degrees C","11.9"
"Average Maximum Temperature","1960M03","Casement","Degrees C",""
"Average Maximum Temperature","1960M03","Claremorris","Degrees C","10.1"
"Average Maximum Temperature","1960M03","Clones","Degrees C","9.2"
"Average Maximum Temperature","1960M03","Cork airport","Degrees C",""
"Average Maximum Temperature","1960M03","Dublin airport","Degrees C","8.7"
"Average Maximum Temperature","1960M03","Galway","Degrees C",""
"Average Maximum Temperature","1960M03","Kilkenny","Degrees C","10"
"Average Maximum Temperature","1960M03","Malin head","Degrees C","8.8"
"Average Maximum Temperature","1960M03","Mullingar","Degrees C","9.3"
"Average Maximum Temperature","1960M03","Roches Point","Degrees C","10.1"
"Average Maximum Temperature","1960M03","Rosslare","Degrees C","9.3"
"Average Maximum Temperature","1960M03","Shannon airport","Degrees C","11"
"Average Maximum Temperature","1960M04","Belmullet","Degrees C","12.6"
"Average Maximum Temperature","1960M04","Birr","Degrees C","13.6"
"Average Maximum Temperature","1960M04","Valentia Observatory","Degrees C","13.3"
"Average Maximum Temperature","1960M04","Casement","Degrees C",""
"Average Maximum Temperature","1960M04","Claremorris","Degrees C","13"
