Statistic,Month,Meteorological Weather Station,UNIT,VALUE
Total Sunshine Hours,1959M06,Shannon airport,Number,220.3
Total Sunshine Hours,1959M07,Belmullet,Number,129.8
Total Sunshine Hours,1959M07,Birr,Number,171.0
Total Sunshine Hours,1959M07,Valentia Observatory,Number,168.8
Total Sunshine Hours,1959M07,Casement,Number,
Total Sunshine Hours,1959M07,Claremorris,Number,114.7
Total Sunshine Hours,1959M07,Clones,Number,136.4
Total Sunshine Hours,1959M07,Cork airport,Number,
Total Sunshine Hours,1959M07,Dublin airport,Number,191.6
Total Sunshine Hours,1959M07,Galway,Number,
Total Sunshine Hours,1959M07,Kilkenny,Number,190.2
Total Sunshine Hours,1959M07,Malin head,Number,104.1
Total Sunshine Hours,1959M07,Mullingar,Number,169.8
Total Sunshine Hours,1959M07,Roches Point,Number,214.0
Total Sunshine Hours,1959M07,Rosslare,Number,256.3
Total Sunshine Hours,1959M07,Shannon airport,Number,172.3
Total Sunshine Hours,1959M08,Belmullet,Number,110.0
Total Sunshine Hours,1959M08,Birr,Number,150.2
Total Sunshine Hours,1959M08,Valentia Observatory,Number,180.8
Total Sunshine Hours,1959M08,Casement,Number,
Total Sunshine Hours,1959M08,Claremorris,Number,100.5
Total Sunshine Hours,1959M08,Clones,Number,113.4
Total Sunshine Hours,1959M08,Cork airport,Number,
Total Sunshine Hours,1959M08,Dublin airport,Number,189.6
Total Sunshine Hours,1959M08,Galway,Number,
Total Sunshine Hours,1959M08,Kilkenny,Number,171.1
Total Sunshine Hours,1959M08,Malin head,Number,132.1
Total Sunshine Hours,1959M08,Mullingar,Number,133.1
Total Sunshine Hours,1959M08,Roches Point,Number,192.8
Total Sunshine Hours,1959M08,Rosslare,Number,239.5
Total Sunshine Hours,1959M08,Shannon airport,Number,148.6
Total Sunshine Hours,1959M09,Belmullet,Number,175.4
Total Sunshine Hours,1959M09,Birr,Number,168.8
Total Sunshine Hours,1959M09,Valentia Observatory,Number,163.6
Total Sunshine Hours,1959M09,Casement,Number,
Total Sunshine Hours,1959M09,Claremorris,Number,128.5
Total Sunshine Hours,1959M09,Clones,Number,122.9
Total Sunshine Hours,1959M09,Cork airport,Number,
Total Sunshine Hours,1959M09,Dublin airport,Number,181.2
Total Sunshine Hours,1959M09,Galway,Number,
Total Sunshine Hours,1959M09,Kilkenny,Number,165.2
Total Sunshine Hours,1959M09,Malin head,Number,153.8
Total Sunshine Hours,1959M09,Mullingar,Number,154.6
Total Sunshine Hours,1959M09,Roches Point,Number,192.3
Total Sunshine Hours,1959M09,Rosslare,Number,219.5
Total Sunshine Hours,1959M09,Shannon airport,Number,165.6
Total Sunshine Hours,1959M10,Belmullet,Number,93.1
Total Sunshine Hours,1959M10,Birr,Number,124.5
Total Sunshine Hours,1959M10,Valentia Observatory,Number,94.2
Total Sunshine Hours,1959M10,Casement,Number,
Total Sunshine Hours,1959M10,Claremorris,Number,89.5
Total Sunshine Hours,1959M10,Clones,Number,98.7
Total Sunshine Hours,1959M10,Cork airport,Number,
Total Sunshine Hours,1959M10,Dublin airport,Number,132.5
Total Sunshine Hours,1959M10,Galway,Number,
Total Sunshine Hours,1959M10,Kilkenny,Number,119.5
Total Sunshine Hours,1959M10,Malin head,Number,98.1
Total Sunshine Hours,1959M10,Mullingar,Number,122.5
Total Sunshine Hours,1959M10,Roches Point,Number,106.0
Total Sunshine Hours,1959M10,Rosslare,Number,134.8
Total Sunshine Hours,1959M10,Shannon airport,Number,101.6
Total Sunshine Hours,1959M11,Belmullet,Number,65.2
Total Sunshine Hours,1959M11,Birr,Number,70.5
Total Sunshine Hours,1959M11,Valentia Observatory,Number,66.7
Total Sunshine Hours,1959M11,Casement,Number,
Total Sunshine Hours,1959M11,Claremorris,Number,59.4
Total Sunshine Hours,1959M11,Clones,Number,62.4
Total Sunshine Hours,1959M11,Cork airport,Number,
Total Sunshine Hours,1959M11,Dublin airport,Number,79.8
Total Sunshine Hours,1959M11,Galway,Number,
Total Sunshine Hours,1959M11,Kilkenny,Number,59.5
Total Sunshine Hours,1959M11,Malin head,Number,72.5
Total Sunshine Hours,1959M11,Mullingar,Number,79.8
Total Sunshine Hours,1959M11,Roches Point,Number,72.9
Total Sunshine Hours,1959M11,Rosslare,Number,73.3
Total Sunshine Hours,1959M11,Shannon airport,Number,64.8
Total Sunshine Hours,1959M12,Belmullet,Number,27.5
Total Sunshine Hours,1959M12,Birr,Number,48.4
Total Sunshine Hours,1959M12,Valentia Observatory,Number,43.2
Total Sunshine Hours,1959M12,Casement,Number,
Total Sunshine Hours,1959M12,Claremorris,Number,34.5
Total Sunshine Hours,1959M12,Clones,Number,37.6
Total Sunshine Hours,1959M12,Cork airport,Number,
Total Sunshine Hours,1959M12,Dublin airport,Number,54.9
Total Sunshine Hours,1959M12,Galway,Number,
Total Sunshine Hours,1959M12,Kilkenny,Number,59.0
Total Sunshine Hours,1959M12,Malin head,Number,29.0
Total Sunshine Hours,1959M12,Mullingar,Number,54.1
Total Sunshine Hours,1959M12,Roches Point,Number,62.8
Total Sunshine Hours,1959M12,Rosslare,Number,64.5
Total Sunshine Hours,1959M12,Shannon airport,Number,41.2
Total Sunshine Hours,1960M01,Belmullet,Number,61.5
Total Sunshine Hours,1960M01,Birr,Number,68.6
Total Sunshine Hours,1960M01,Valentia Observatory,Number,67.1
Total Sunshine Hours,1960M01,Casement,Number,
Total Sunshine Hours,1960M01,Claremorris,Number,62.4
Total Sunshine Hours,1960M01,Clones,Number,50.3
Total Sunshine Hours,1960M01,Cork airport,Number,
Total Sunshine Hours,1960M01,Dublin airport,Number,54.5
Total Sunshine Hours,1960M01,Galway,Number,
Total Sunshine Hours,1960M01,Kilkenny,Number,68.8
Total Sunshine Hours,1960M01,Malin head,Number,42.3
Total Sunshine Hours,1960M01,Mullingar,Number,68.6
Total Sunshine Hours,1960M01,Roches Point,Number,70.4
Total Sunshine Hours,1960M01,Rosslare,Number,66.8
Total Sunshine Hours,1960M01,Shannon airport,Number,61.6
Total Sunshine Hours,1960M02,Belmullet,Number,105.6
Total Sunshine Hours,1960M02,Birr,Number,106.8
Total Sunshine Hours,1960M02,Valentia Observatory,Number,100.4
Total Sunshine Hours,1960M02,Casement,Number,
Total Sunshine Hours,1960M02,Claremorris,Number,108.9
Total Sunshine Hours,1960M02,Clones,Number,103.0
Total Sunshine Hours,1960M02,Cork airport,Number,
Total Sunshine Hours,1960M02,Dublin airport,Number,109.0
Total Sunshine Hours,1960M02,Galway,Number,
Total Sunshine Hours,1960M02,Kilkenny,Number,111.1
Total Sunshine Hours,1960M02,Malin head,Number,109.5
Total Sunshine Hours,1960M02,Mullingar,Number,120.1
Total Sunshine Hours,1960M02,Roches Point,Number,107.7
Total Sunshine Hours,1960M02,Rosslare,Number,107.4
Total Sunshine Hours,1960M02,Shannon airport,Number,100.8
Total Sunshine Hours,1960M03,Belmullet,Number,98.1
Total Sunshine Hours,1960M03,Birr,Number,61.6
Total Sunshine Hours,1960M03,Valentia Observatory,Number,90.4
Total Sunshine Hours,1960M03,Casement,Number,
Total Sunshine Hours,1960M03,Claremorris,Number,56.6
Total Sunshine Hours,1960M03,Clones,Number,57.3
Total Sunshine Hours,1960M03,Cork airport,Number,
Total Sunshine Hours,1960M03,Dublin airport,Number,55.5
Total Sunshine Hours,1960M03,Galway,Number,
Total Sunshine Hours,1960M03,Kilkenny,Number,54.4
Total Sunshine Hours,1960M03,Malin head,Number,84.1
Total Sunshine Hours,1960M03,Mullingar,Number,59.6
Total Sunshine Hours,1960M03,Roches Point,Number,69.7
Total Sunshine Hours,1960M03,Rosslare,Number,75.8
Total Sunshine Hours,1960M03,Shannon airport,Number,73.3
Total Sunshine Hours,1960M04,Belmullet,Number,175.0
Total Sunshine Hours,1960M04,Birr,Number,130.0
Total Sunshine Hours,1960M04,Valentia Observatory,Number,178.8
Total Sunshine Hours,1960M04,Casement,Number,
Total Sunshine Hours,1960M04,Claremorris,Number,134.7
Total Sunshine Hours,1960M04,Clones,Number,145.3
Total Sunshine Hours,1960M04,Cork airport,Number,
Total Sunshine Hours,1960M04,Dublin airport,Number,176.5
Total Sunshine Hours,1960M04,Galway,Number,
Total Sunshine Hours,1960M04,Kilkenny,Number,172.5
Total Sunshine Hours,1960M04,Malin head,Number,169.1
Total Sunshine Hours,1960M04,Mullingar,Number,153.5
Total Sunshine Hours,1960M04,Roches Point,Number,206.1
Total Sunshine Hours,1960M04,Rosslare,Number,203.0
Total Sunshine Hours,1960M04,Shannon airport,Number,139.3
Total Sunshine Hours,1960M05,Belmullet,Number,198.4
Total Sunshine Hours,1960M05,Birr,Number,183.3
Total Sunshine Hours,1960M05,Valentia Observatory,Number,165.7
Total Sunshine Hours,1960M05,Casement,Number,
Total Sunshine Hours,1960M05,Claremorris,Number,170.4
Total Sunshine Hours,1960M05,Clones,Number,182.4
Total Sunshine Hours,1960M05,Cork airport,Number,
Total Sunshine Hours,1960M05,Dublin airport,Number,210.9
Total Sunshine Hours,1960M05,Galway,Number,
Total Sunshine Hours,1960M05,Kilkenny,Number,194.9
Total Sunshine Hours,1960M05,Malin head,Number,216.2
Total Sunshine Hours,1960M05,Mullingar,Number,188.3
Total Sunshine Hours,1960M05,Roches Point,Number,197.8
Total Sunshine Hours,1960M05,Rosslare,Number,239.9
Total Sunshine Hours,1960M05,Shannon airport,Number,172.5
Total Sunshine Hours,1960M06,Belmullet,Number,220.6
Total Sunshine Hours,1960M06,Birr,Number,199.8
Total Sunshine Hours,1960M06,Valentia Observatory,Number,205.3
Total Sunshine Hours,1960M06,Casement,Number,
Total Sunshine Hours,1960M06,Claremorris,Number,182.8
Total Sunshine Hours,1960M06,Clones,Number,206.7
Total Sunshine Hours,1960M06,Cork airport,Number,
Total Sunshine Hours,1960M06,Dublin airport,Number,241.6
Total Sunshine Hours,1960M06,Galway,Number,
Total Sunshine Hours,1960M06,Kilkenny,Number,206.2
Total Sunshine Hours,1960M06,Malin head,Number,223.3
Total Sunshine Hours,1960M06,Mullingar,Number,227.7
Total Sunshine Hours,1960M06,Roches Point,Number,226.3
Total Sunshine Hours,1960M06,Rosslare,Number,251.0
Total Sunshine Hours,1960M06,Shannon airport,Number,195.8
Total Sunshine Hours,1960M07,Belmullet,Number,171.3
Total Sunshine Hours,1960M07,Birr,Number,130.4
Total Sunshine Hours,1960M07,Valentia Observatory,Number,147.2
Total Sunshine Hours,1960M07,Casement,Number,
Total Sunshine Hours,1960M07,Claremorris,Number,114.5
Total Sunshine Hours,1960M07,Clones,Number,115.8
Total Sunshine Hours,1960M07,Cork airport,Number,
Total Sunshine Hours,1960M07,Dublin airport,Number,173.1
Total Sunshine Hours,1960M07,Galway,Number,
Total Sunshine Hours,1960M07,Kilkenny,Number,153.3
Total Sunshine Hours,1960M07,Malin head,Number,153.2
Total Sunshine Hours,1960M07,Mullingar,Number,151.8
Total Sunshine Hours,1960M07,Roches Point,Number,169.4
Total Sunshine Hours,1960M07,Rosslare,Number,204.7
Total Sunshine Hours,1960M07,Shannon airport,Number,143.4
Total Sunshine Hours,1960M08,Belmullet,Number,194.2
Total Sunshine Hours,1960M08,Birr,Number,161.4
Total Sunshine Hours,1960M08,Valentia Observatory,Number,200.7
Total Sunshine Hours,1960M08,Casement,Number,
Total Sunshine Hours,1960M08,Claremorris,Number,144.1
Total Sunshine Hours,1960M08,Clones,Number,128.5
Total Sunshine Hours,1960M08,Cork airport,Number,
Total Sunshine Hours,1960M08,Dublin airport,Number,175.2
Total Sunshine Hours,1960M08,Galway,Number,
Total Sunshine Hours,1960M08,Kilkenny,Number,183.0
Total Sunshine Hours,1960M08,Malin head,Number,191.5
Total Sunshine Hours,1960M08,Mullingar,Number,158.3
Total Sunshine Hours,1960M08,Roches Point,Number,190.7
Total Sunshine Hours,1960M08,Rosslare,Number,210.8
Total Sunshine Hours,1960M08,Shannon airport,Number,182.8
Total Sunshine Hours,1960M09,Belmullet,Number,110.1
Total Sunshine Hours,1960M09,Birr,Number,118.7
