,Statistic,Year,Type of Crop,UNIT,VALUE
362,Area under Crops,2006,Winter oats,000 Hectares,9.3
363,Area under Crops,2006,Spring oats,000 Hectares,11.1
364,Area under Crops,2006,Total barley,000 Hectares,167.0
365,Area under Crops,2006,Winter barley,000 Hectares,15.1
366,Area under Crops,2006,Spring barley,000 Hectares,151.9
367,Area under Crops,2006,Beans and peas,000 Hectares,4.3
368,Area under Crops,2006,Oilseed rape,000 Hectares,5.1
369,Area under Crops,2006,Potatoes,000 Hectares,11.5
370,Area under Crops,2006,Turnips,000 Hectares,
371,Area under Crops,2006,Sugar beet,000 Hectares,
372,Area under Crops,2006,Fodder beet,000 Hectares,
373,Area under Crops,2006,Kale and field cabbage,000 Hectares,
374,Area under Crops,2007,"Total wheat, oats and barley",000 Hectares,273.1
375,Area under Crops,2007,Total wheat,000 Hectares,84.3
376,Area under Crops,2007,Winter wheat,000 Hectares,64.7
377,Area under Crops,2007,Spring wheat,000 Hectares,19.6
378,Area under Crops,2007,Total oats,000 Hectares,21.3
379,Area under Crops,2007,Winter oats,000 Hectares,13.5
380,Area under Crops,2007,Spring oats,000 Hectares,7.8
381,Area under Crops,2007,Total barley,000 Hectares,167.5
382,Area under Crops,2007,Winter barley,000 Hectares,18.7
383,Area under Crops,2007,Spring barley,000 Hectares,148.8
384,Area under Crops,2007,Beans and peas,000 Hectares,2.9
385,Area under Crops,2007,Oilseed rape,000 Hectares,8.2
386,Area under Crops,2007,Potatoes,000 Hectares,11.7
387,Area under Crops,2007,Turnips,000 Hectares,
388,Area under Crops,2007,Sugar beet,000 Hectares,
389,Area under Crops,2007,Fodder beet,000 Hectares,
390,Area under Crops,2007,Kale and field cabbage,000 Hectares,
391,Crop Yield per Hectare,1985,"Total wheat, oats and barley",Tonnes,5.1
392,Crop Yield per Hectare,1985,Total wheat,Tonnes,6.4
393,Crop Yield per Hectare,1985,Winter wheat,Tonnes,6.5
394,Crop Yield per Hectare,1985,Spring wheat,Tonnes,5.8
395,Crop Yield per Hectare,1985,Total oats,Tonnes,5.1
396,Crop Yield per Hectare,1985,Winter oats,Tonnes,6.2
397,Crop Yield per Hectare,1985,Spring oats,Tonnes,4.4
398,Crop Yield per Hectare,1985,Total barley,Tonnes,4.8
399,Crop Yield per Hectare,1985,Winter barley,Tonnes,5.2
400,Crop Yield per Hectare,1985,Spring barley,Tonnes,4.8
401,Crop Yield per Hectare,1985,Beans and peas,Tonnes,0.0
402,Crop Yield per Hectare,1985,Oilseed rape,Tonnes,0.0
403,Crop Yield per Hectare,1985,Potatoes,Tonnes,20.8
404,Crop Yield per Hectare,1985,Turnips,Tonnes,53.5
405,Crop Yield per Hectare,1985,Sugar beet,Tonnes,38.7
406,Crop Yield per Hectare,1985,Fodder beet,Tonnes,56.8
407,Crop Yield per Hectare,1985,Kale and field cabbage,Tonnes,44.2
408,Crop Yield per Hectare,1986,"Total wheat, oats and barley",Tonnes,5.2
409,Crop Yield per Hectare,1986,Total wheat,Tonnes,5.5
410,Crop Yield per Hectare,1986,Winter wheat,Tonnes,5.6
411,Crop Yield per Hectare,1986,Spring wheat,Tonnes,5.4
412,Crop Yield per Hectare,1986,Total oats,Tonnes,5.4
413,Crop Yield per Hectare,1986,Winter oats,Tonnes,6.4
414,Crop Yield per Hectare,1986,Spring oats,Tonnes,4.8
415,Crop Yield per Hectare,1986,Total barley,Tonnes,5.1
416,Crop Yield per Hectare,1986,Winter barley,Tonnes,5.2
417,Crop Yield per Hectare,1986,Spring barley,Tonnes,5.0
418,Crop Yield per Hectare,1986,Beans and peas,Tonnes,0.0
419,Crop Yield per Hectare,1986,Oilseed rape,Tonnes,0.0
420,Crop Yield per Hectare,1986,Potatoes,Tonnes,20.3
421,Crop Yield per Hectare,1986,Turnips,Tonnes,51.6
422,Crop Yield per Hectare,1986,Sugar beet,Tonnes,34.4
423,Crop Yield per Hectare,1986,Fodder beet,Tonnes,51.1
424,Crop Yield per Hectare,1986,Kale and field cabbage,Tonnes,43.1
425,Crop Yield per Hectare,1987,"Total wheat, oats and barley",Tonnes,6.0
426,Crop Yield per Hectare,1987,Total wheat,Tonnes,6.9
427,Crop Yield per Hectare,1987,Winter wheat,Tonnes,7.3
428,Crop Yield per Hectare,1987,Spring wheat,Tonnes,6.2
429,Crop Yield per Hectare,1987,Total oats,Tonnes,5.8
430,Crop Yield per Hectare,1987,Winter oats,Tonnes,7.0
431,Crop Yield per Hectare,1987,Spring oats,Tonnes,5.0
432,Crop Yield per Hectare,1987,Total barley,Tonnes,5.8
433,Crop Yield per Hectare,1987,Winter barley,Tonnes,6.3
434,Crop Yield per Hectare,1987,Spring barley,Tonnes,5.7
435,Crop Yield per Hectare,1987,Beans and peas,Tonnes,0.0
436,Crop Yield per Hectare,1987,Oilseed rape,Tonnes,0.0
437,Crop Yield per Hectare,1987,Potatoes,Tonnes,23.0
438,Crop Yield per Hectare,1987,Turnips,Tonnes,56.8
439,Crop Yield per Hectare,1987,Sugar beet,Tonnes,43.7
440,Crop Yield per Hectare,1987,Fodder beet,Tonnes,64.8
441,Crop Yield per Hectare,1987,Kale and field cabbage,Tonnes,52.1
442,Crop Yield per Hectare,1988,"Total wheat, oats and barley",Tonnes,6.4
443,Crop Yield per Hectare,1988,Total wheat,Tonnes,7.8
444,Crop Yield per Hectare,1988,Winter wheat,Tonnes,8.2
445,Crop Yield per Hectare,1988,Spring wheat,Tonnes,7.0
446,Crop Yield per Hectare,1988,Total oats,Tonnes,6.5
447,Crop Yield per Hectare,1988,Winter oats,Tonnes,7.7
448,Crop Yield per Hectare,1988,Spring oats,Tonnes,5.6
449,Crop Yield per Hectare,1988,Total barley,Tonnes,6.1
450,Crop Yield per Hectare,1988,Winter barley,Tonnes,6.4
451,Crop Yield per Hectare,1988,Spring barley,Tonnes,6.0
452,Crop Yield per Hectare,1988,Beans and peas,Tonnes,0.0
453,Crop Yield per Hectare,1988,Oilseed rape,Tonnes,0.0
454,Crop Yield per Hectare,1988,Potatoes,Tonnes,24.8
455,Crop Yield per Hectare,1988,Turnips,Tonnes,51.9
456,Crop Yield per Hectare,1988,Sugar beet,Tonnes,40.1
