,p_adj,unit,geotime,product,year,priceIDX
541,NI,I15,LV,039000,2021,
542,NI,I15,MT,039000,2021,
543,NI,I15,NL,039000,2021,
544,NI,I15,PL,039000,2021,
545,NI,I15,PT,039000,2021,
546,NI,I15,RO,039000,2021,
547,NI,I15,SE,039000,2021,
548,NI,I15,UK,039000,2021,
549,NI,I15,AT,039100,2021,
550,NI,I15,BE,039100,2021,
551,NI,I15,BG,039100,2021,
552,NI,I15,CY,039100,2021,
553,NI,I15,EL,039100,2021,
554,NI,I15,ES,039100,2021,
555,NI,I15,EU27_2020,039100,2021,
556,NI,I15,EU28,039100,2021,
557,NI,I15,FI,039100,2021,
558,NI,I15,HR,039100,2021,
559,NI,I15,HU,039100,2021,
560,NI,I15,IT,039100,2021,
561,NI,I15,LV,039100,2021,
562,NI,I15,PL,039100,2021,
563,NI,I15,RO,039100,2021,
564,NI,I15,SE,039100,2021,
565,NI,I15,AT,039200,2021,
566,NI,I15,BE,039200,2021,
567,NI,I15,CY,039200,2021,
568,NI,I15,DK,039200,2021,
569,NI,I15,EL,039200,2021,
570,NI,I15,EU27_2020,039200,2021,
571,NI,I15,EU28,039200,2021,
572,NI,I15,HU,039200,2021,
573,NI,I15,IT,039200,2021,
574,NI,I15,LV,039200,2021,
575,NI,I15,PL,039200,2021,
576,NI,I15,PT,039200,2021,
577,NI,I15,SE,039200,2021,
578,NI,I15,UK,039200,2021,
579,NI,I15,AT,039300,2021,
580,NI,I15,DK,039300,2021,
581,NI,I15,EU27_2020,039300,2021,
582,NI,I15,EU28,039300,2021,
583,NI,I15,FI,039300,2021,
584,NI,I15,LV,039300,2021,
585,NI,I15,SE,039300,2021,
586,NI,I15,BG,039900,2021,
587,NI,I15,EE,039900,2021,
588,NI,I15,EL,039900,2021,
589,NI,I15,ES,039900,2021,
590,NI,I15,EU27_2020,039900,2021,
591,NI,I15,EU28,039900,2021,
592,NI,I15,FR,039900,2021,
593,NI,I15,LV,039900,2021,
