"Statistic","Quarter","Regional Veterinary Offices","UNIT","VALUE"
"Herds in County","2014Q4","Kildare","Number","1914"
"Herds in County","2014Q4","Kilkenny","Number","3174"
"Herds in County","2014Q4","Laois","Number","2876"
"Herds in County","2014Q4","Leitrim","Number","2988"
"Herds in County","2014Q4","Limerick","Number","5483"
"Herds in County","2014Q4","Longford","Number","2384"
"Herds in County","2014Q4","Louth","Number","1196"
"Herds in County","2014Q4","Mayo","Number","9501"
"Herds in County","2014Q4","Meath","Number","3659"
"Herds in County","2014Q4","Monaghan","Number","4246"
"Herds in County","2014Q4","Offaly","Number","3091"
"Herds in County","2014Q4","Roscommon","Number","5420"
"Herds in County","2014Q4","Sligo","Number","3556"
"Herds in County","2014Q4","Tipperary North","Number","3439"
"Herds in County","2014Q4","Tipperary South","Number","3412"
"Herds in County","2014Q4","Waterford","Number","2241"
"Herds in County","2014Q4","Westmeath","Number","3015"
"Herds in County","2014Q4","Wexford","Number","3039"
"Herds in County","2014Q4","Wicklow E","Number","1054"
"Herds in County","2014Q4","Wicklow W","Number","549"
"Herds in County","2015Q1","State","Number","115049"
"Herds in County","2015Q1","Carlow","Number","1338"
"Herds in County","2015Q1","Cavan","Number","4839"
"Herds in County","2015Q1","Clare","Number","6202"
"Herds in County","2015Q1","Cork North","Number","5822"
"Herds in County","2015Q1","Cork South","Number","6141"
"Herds in County","2015Q1","Donegal","Number","5480"
"Herds in County","2015Q1","Dublin","Number","394"
"Herds in County","2015Q1","Galway","Number","11466"
"Herds in County","2015Q1","Kerry","Number","6835"
"Herds in County","2015Q1","Kildare","Number","1939"
"Herds in County","2015Q1","Kilkenny","Number","3188"
"Herds in County","2015Q1","Laois","Number","2907"
"Herds in County","2015Q1","Leitrim","Number","3015"
"Herds in County","2015Q1","Limerick","Number","5520"
"Herds in County","2015Q1","Longford","Number","2402"
"Herds in County","2015Q1","Louth","Number","1207"
"Herds in County","2015Q1","Mayo","Number","9425"
"Herds in County","2015Q1","Meath","Number","3702"
"Herds in County","2015Q1","Monaghan","Number","4257"
"Herds in County","2015Q1","Offaly","Number","3103"
"Herds in County","2015Q1","Roscommon","Number","5435"
"Herds in County","2015Q1","Sligo","Number","3587"
"Herds in County","2015Q1","Tipperary North","Number","3445"
"Herds in County","2015Q1","Tipperary South","Number","3420"
"Herds in County","2015Q1","Waterford","Number","2255"
"Herds in County","2015Q1","Westmeath","Number","3020"
"Herds in County","2015Q1","Wexford","Number","3081"
"Herds in County","2015Q1","Wicklow E","Number","1064"
"Herds in County","2015Q1","Wicklow W","Number","560"
"Herds in County","2015Q2","State","Number","116578"
"Herds in County","2015Q2","Carlow","Number","1365"
"Herds in County","2015Q2","Cavan","Number","4893"
"Herds in County","2015Q2","Clare","Number","6257"
"Herds in County","2015Q2","Cork North","Number","5923"
"Herds in County","2015Q2","Cork South","Number","6246"
"Herds in County","2015Q2","Donegal","Number","5551"
"Herds in County","2015Q2","Dublin","Number","403"
"Herds in County","2015Q2","Galway","Number","11625"
"Herds in County","2015Q2","Kerry","Number","6906"
"Herds in County","2015Q2","Kildare","Number","1968"
