"Statistic","Year","Regional Veterinary Offices","UNIT","VALUE"
"Herds Tested","2015","Cork South","Number","6027"
"Herds Tested","2015","Donegal","Number","5351"
"Herds Tested","2015","Dublin","Number","378"
"Herds Tested","2015","Galway","Number","11252"
"Herds Tested","2015","Kerry","Number","6787"
"Herds Tested","2015","Kildare","Number","1901"
"Herds Tested","2015","Kilkenny","Number","3144"
"Herds Tested","2015","Laois","Number","2904"
"Herds Tested","2015","Leitrim","Number","2999"
"Herds Tested","2015","Limerick","Number","5460"
"Herds Tested","2015","Longford","Number","2388"
"Herds Tested","2015","Louth","Number","1190"
"Herds Tested","2015","Mayo","Number","9246"
"Herds Tested","2015","Meath","Number","3666"
"Herds Tested","2015","Monaghan","Number","4162"
"Herds Tested","2015","Offaly","Number","3057"
"Herds Tested","2015","Roscommon","Number","5387"
"Herds Tested","2015","Sligo","Number","3537"
"Herds Tested","2015","Tipperary North","Number","3365"
"Herds Tested","2015","Tipperary South","Number","3356"
"Herds Tested","2015","Waterford","Number","2241"
"Herds Tested","2015","Westmeath","Number","2972"
"Herds Tested","2015","Wexford","Number","3005"
"Herds Tested","2015","Wicklow E","Number","1047"
"Herds Tested","2015","Wicklow W","Number","551"
"Herds Tested","2016","State","Number","112595"
"Herds Tested","2016","Carlow","Number","1311"
"Herds Tested","2016","Cavan","Number","4795"
"Herds Tested","2016","Clare","Number","6124"
"Herds Tested","2016","Cork North","Number","5643"
"Herds Tested","2016","Cork South","Number","5947"
"Herds Tested","2016","Donegal","Number","5300"
"Herds Tested","2016","Dublin","Number","369"
"Herds Tested","2016","Galway","Number","11095"
"Herds Tested","2016","Kerry","Number","6608"
"Herds Tested","2016","Kildare","Number","1883"
"Herds Tested","2016","Kilkenny","Number","3093"
"Herds Tested","2016","Laois","Number","2859"
"Herds Tested","2016","Leitrim","Number","2942"
"Herds Tested","2016","Limerick","Number","5395"
"Herds Tested","2016","Longford","Number","2387"
"Herds Tested","2016","Louth","Number","1179"
"Herds Tested","2016","Mayo","Number","9132"
"Herds Tested","2016","Meath","Number","3589"
"Herds Tested","2016","Monaghan","Number","4187"
"Herds Tested","2016","Offaly","Number","3109"
"Herds Tested","2016","Roscommon","Number","5417"
"Herds Tested","2016","Sligo","Number","3511"
"Herds Tested","2016","Tipperary North","Number","3416"
"Herds Tested","2016","Tipperary South","Number","3413"
"Herds Tested","2016","Waterford","Number","2192"
"Herds Tested","2016","Westmeath","Number","3013"
"Herds Tested","2016","Wexford","Number","3061"
"Herds Tested","2016","Wicklow E","Number","1074"
"Herds Tested","2016","Wicklow W","Number","551"
"Herds Tested","2017","State","Number","111901"
"Herds Tested","2017","Carlow","Number","1297"
"Herds Tested","2017","Cavan","Number","4757"
"Herds Tested","2017","Clare","Number","6059"
"Herds Tested","2017","Cork North","Number","5720"
"Herds Tested","2017","Cork South","Number","6007"
"Herds Tested","2017","Donegal","Number","5207"
"Herds Tested","2017","Dublin","Number","377"
"Herds Tested","2017","Galway","Number","10977"
"Herds Tested","2017","Kerry","Number","6661"
"Herds Tested","2017","Kildare","Number","1866"
"Herds Tested","2017","Kilkenny","Number","3051"
"Herds Tested","2017","Laois","Number","2834"
"Herds Tested","2017","Leitrim","Number","2895"
"Herds Tested","2017","Limerick","Number","5358"
"Herds Tested","2017","Longford","Number","2358"
"Herds Tested","2017","Louth","Number","1148"
"Herds Tested","2017","Mayo","Number","8936"
"Herds Tested","2017","Meath","Number","3572"
"Herds Tested","2017","Monaghan","Number","4194"
"Herds Tested","2017","Offaly","Number","3111"
"Herds Tested","2017","Roscommon","Number","5390"
"Herds Tested","2017","Sligo","Number","3452"
"Herds Tested","2017","Tipperary North","Number","3425"
"Herds Tested","2017","Tipperary South","Number","3395"
"Herds Tested","2017","Waterford","Number","2169"
"Herds Tested","2017","Westmeath","Number","3058"
