,Statistic,Year,Type of Crop,UNIT,VALUE
391,Crop Production,2012,Total wheat,000 Tonnes,707.9
392,Crop Production,2012,Winter wheat,000 Tonnes,625.7
393,Crop Production,2012,Spring wheat,000 Tonnes,82.2
394,Crop Production,2012,Total oats,000 Tonnes,156.5
395,Crop Production,2012,Winter oats,000 Tonnes,68.2
396,Crop Production,2012,Spring oats,000 Tonnes,88.4
397,Crop Production,2012,Total barley,000 Tonnes,1260.7
398,Crop Production,2012,Winter barley,000 Tonnes,319.8
399,Crop Production,2012,Spring barley,000 Tonnes,940.9
400,Crop Production,2012,Beans and peas,000 Tonnes,19.7
401,Crop Production,2012,Oilseed rape,000 Tonnes,58.7
402,Crop Production,2012,Potatoes,000 Tonnes,232.0
403,Crop Production,2013,"Total wheat, oats and barley",000 Tonnes,2400.6
404,Crop Production,2013,Total wheat,000 Tonnes,545.3
405,Crop Production,2013,Winter wheat,000 Tonnes,422.1
406,Crop Production,2013,Spring wheat,000 Tonnes,123.3
407,Crop Production,2013,Total oats,000 Tonnes,192.5
408,Crop Production,2013,Winter oats,000 Tonnes,43.4
409,Crop Production,2013,Spring oats,000 Tonnes,149.1
410,Crop Production,2013,Total barley,000 Tonnes,1662.8
411,Crop Production,2013,Winter barley,000 Tonnes,341.8
412,Crop Production,2013,Spring barley,000 Tonnes,1320.9
413,Crop Production,2013,Beans and peas,000 Tonnes,23.3
414,Crop Production,2013,Oilseed rape,000 Tonnes,49.2
415,Crop Production,2013,Potatoes,000 Tonnes,410.1
416,Crop Production,2014,"Total wheat, oats and barley",000 Tonnes,2597.8
417,Crop Production,2014,Total wheat,000 Tonnes,717.0
418,Crop Production,2014,Winter wheat,000 Tonnes,663.4
419,Crop Production,2014,Spring wheat,000 Tonnes,53.6
420,Crop Production,2014,Total oats,000 Tonnes,149.7
421,Crop Production,2014,Winter oats,000 Tonnes,87.8
422,Crop Production,2014,Spring oats,000 Tonnes,61.9
423,Crop Production,2014,Total barley,000 Tonnes,1731.2
424,Crop Production,2014,Winter barley,000 Tonnes,558.7
425,Crop Production,2014,Spring barley,000 Tonnes,1172.5
426,Crop Production,2014,Beans and peas,000 Tonnes,20.3
427,Crop Production,2014,Oilseed rape,000 Tonnes,34.2
428,Crop Production,2014,Potatoes,000 Tonnes,383.0
429,Crop Production,2015,"Total wheat, oats and barley",000 Tonnes,2633.6
430,Crop Production,2015,Total wheat,000 Tonnes,696.6
431,Crop Production,2015,Winter wheat,000 Tonnes,610.1
432,Crop Production,2015,Spring wheat,000 Tonnes,86.5
433,Crop Production,2015,Total oats,000 Tonnes,197.7
434,Crop Production,2015,Winter oats,000 Tonnes,104.7
435,Crop Production,2015,Spring oats,000 Tonnes,93.0
436,Crop Production,2015,Total barley,000 Tonnes,1739.2
437,Crop Production,2015,Winter barley,000 Tonnes,711.9
438,Crop Production,2015,Spring barley,000 Tonnes,1027.4
439,Crop Production,2015,Beans and peas,000 Tonnes,69.3
440,Crop Production,2015,Oilseed rape,000 Tonnes,39.9
441,Crop Production,2015,Potatoes,000 Tonnes,360.1
